text,emotion
I feel excited about the future,joy
Today feels very heavy,sadness
I cannot tolerate this anymore,anger
I am afraid something bad might happen,fear
I feel warmth in my heart,love
This feels unbelievable,surprise
I feel full of energy and happiness,joy
I feel very lonely today,sadness
I feel like screaming,anger
I feel insecure about my decisions,fear
I cherish these moments,love
I cannot believe what just happened,surprise
I feel excited about the future,joy
I feel emotionally exhausted,sadness
This makes my blood boil,anger
I am afraid something bad might happen,fear
I feel connected to people I love,love
I am shocked by this news,surprise
Everything feels positive today,joy
I feel emotionally exhausted,sadness
I am very irritated today,anger
I am afraid something bad might happen,fear
I feel connected to people I love,love
That was completely unexpected,surprise
This moment feels wonderful,joy
I feel empty inside,sadness
I feel like screaming,anger
I feel scared about the future,fear
I feel thankful for everything,love
I am amazed by the result,surprise
I just achieved something amazing,joy
I feel very lonely today,sadness
I cannot tolerate this anymore,anger
I feel nervous right now,fear
I cherish these moments,love
I am amazed by the result,surprise
I am proud of myself,joy
Nothing seems to make me happy,sadness
This makes my blood boil,anger
I feel anxious about tomorrow,fear
I feel emotionally supported,love
That was completely unexpected,surprise
This moment feels wonderful,joy
I feel very lonely today,sadness
I cannot tolerate this anymore,anger
I feel anxious about tomorrow,fear
I cherish these moments,love
This feels unbelievable,surprise
I feel excited about the future,joy
I am struggling with my feelings,sadness
I feel like screaming,anger
I am worried about what will happen,fear
I feel connected to people I love,love
I did not see that coming,surprise
I just achieved something amazing,joy
I feel emotionally exhausted,sadness
I am very irritated today,anger
I feel scared about the future,fear
I love spending time with family,love
That was totally surprising,surprise
This moment feels wonderful,joy
I miss someone a lot,sadness
I hate when things go wrong,anger
I am worried about what will happen,fear
I cherish these moments,love
That was a big surprise,surprise
I just achieved something amazing,joy
I feel very lonely today,sadness
This situation makes me angry,anger
I am worried about what will happen,fear
I feel warmth in my heart,love
That was completely unexpected,surprise
I feel full of energy and happiness,joy
I feel very lonely today,sadness
I cannot tolerate this anymore,anger
I feel uneasy and stressed,fear
I appreciate my friends a lot,love
I am shocked by this news,surprise
I feel full of energy and happiness,joy
I am feeling really down,sadness
I hate when things go wrong,anger
I feel nervous right now,fear
I feel connected to people I love,love
This feels unbelievable,surprise
I feel excited about the future,joy
Today feels very heavy,sadness
I am losing my patience,anger
I am worried about what will happen,fear
I feel warmth in my heart,love
This feels unbelievable,surprise
I love spending time with my friends,joy
I miss someone a lot,sadness
I feel like screaming,anger
I am worried about everything,fear
I love spending time with family,love
I did not expect that at all,surprise
I feel really happy today,joy
I am struggling with my feelings,sadness
I am losing my patience,anger
I feel scared about the future,fear
I love spending time with family,love
This surprised me a lot,surprise
I am feeling great and relaxed,joy
I feel very lonely today,sadness
This situation makes me angry,anger
I am afraid of failing,fear
I feel warmth in my heart,love
I did not expect that at all,surprise
This moment feels wonderful,joy
I feel like nobody understands me,sadness
I am losing my patience,anger
I feel anxious about tomorrow,fear
